"source_transaction_id","coverage_code","limits","deductable","per_occurance","premium","created_date"
"471502202_0","10",1000000,,1000000,150.00,
"471502203_256157061","10",1000000,,1000000,150.00,
"471502217_256157125","17",1000000,,1000000,150.00,
"471502218_256157139","10",1000000,,1000000,150.00,
"471502220_256158310","10",5000000,,1000000,200.00,
"471502225_256157156","17",1000000,,1000000,150.00,
"471502296_256157948","10",1000000,,1000000,150.00,
"471502338_256158341","17",1000000,,1000000,150.00,
"471502348_0","10",1000000,,1000000,150.00,
"471502349_0","17",1000000,,1000000,150.00,
"471503013_0","10",1000000,,1000000,150.00,
"471503014_256164723","10",1000000,,1000000,150.00,
"471503018_0","10",1000000,,1000000,150.00,
"471503100_0","17",1000000,,1000000,150.00,
"471503479_256162549","17",1000000,,1000000,150.00,
"471503500_256162647","17",1000000,,1000000,150.00,
"471503629_256163684","17",1000000,,1000000,150.00,
"471503650_256163913","17",1000000,,1000000,150.00,
"471503727_0","10",1000000,,1000000,150.00,
"471503728_0","10",1000000,,1000000,150.00,
"471503789_256167475","10",2000000,,1000000,170.00,
"471503954_0","10",1000000,,1000000,150.00,
"471503957_256165516","10",1000000,,1000000,150.00,
"471503959_256165547","17",1000000,,1000000,150.00,
"471503972_256165743","17",1000000,,1000000,150.00,
"471503975_256165693","17",1000000,,1000000,150.00,
"471503977_256165676","10",1000000,,1000000,150.00,
"471503985_256165824","10",1000000,,1000000,150.00,
"471504013_0","10",1000000,,1000000,150.00,
"471504073_256166178","01",1000000,,1000000,150.00,
"471505305_256167508","99",1000000,,1000000,150.00,
"471505318_256167606","17",5000000,,1000000,200.00,
"471505320_0","01",1000000,,1000000,150.00,
"471506609_256172191","17",1000000,,1000000,150.00,
"471506894_256174149","01",300000,,100000,150.00,
"471506960_256174538","10",1000000,,1000000,150.00,
"471506963_256174541","10",1000000,,1000000,150.00,
"471506981_256174684","10",5000000,,1000000,200.00,
"471506989_256174751","10",1000000,,1000000,150.00,
"471506998_256174782","17",1000000,,1000000,150.00,
"471507038_256175060","10",1000000,,1000000,150.00,
"471507051_0","10",1000000,,1000000,150.00,
"471507125_0","10",1000000,,1000000,150.00,
"471507164_256175799","10",300000,,100000,150.00,
"471530359_256176175","10",1000000,,1000000,150.00,
"471555737_256176239","10",1000000,,1000000,150.00,
"471555745_256176256","10",1000000,,1000000,150.00,
"471589405_0","10",1000000,,1000000,150.00,
"471589421_0","17",1000000,,1000000,150.00,
"471612524_0","10",1000000,,1000000,150.00,
"471612525_256177861","06",1000000,,1000000,150.00,
"471645629_0","17",500000,,100000,150.00,
"471657913_256183532","17",5000000,,1000000,200.00,
"471657917_0","17",1000000,,1000000,150.00,
"471657918_256183546","07",300000,,100000,150.00,
"471658462_256183563","10",1000000,,1000000,150.00,
"471670054_256184390","16",3000000,,1000000,182.00,
"471670071_256206503","10",1000000,,1000000,150.00,
"471682103_0","10",4000000,,1000000,192.00,
"471683694_256187127","17",1000000,,1000000,150.00,
"471503981_256165712","17",5000000,,1000000,200.00,
"471667479_256184325","10",1000000,,1000000,150.00,
"471683742_0","10",5000000,,1000000,200.00,
"471683746_0","10",5000000,,1000000,200.00,
"471683849_256205433","10",2000000,,1000000,170.00,
"471685453_256191615","17",1000000,,1000000,150.00,
"471695513_256192120","17",1000000,,1000000,150.00,
"471695621_256192280","17",1000000,,1000000,150.00,
"471695704_0","17",300000,,100000,150.00,
"471695817_256193090","10",300000,,100000,150.00,
"471695819_256193106","17",300000,,100000,150.00,
"471695891_256193428","17",300000,,100000,150.00,
"471695892_256193431","17",300000,,100000,150.00,
"471695893_256193445","17",300000,,100000,150.00,
"471695894_256193459","17",300000,,100000,150.00,
"471695895_256202984","17",3000000,,1000000,182.00,
